일련번호,시도,시군구,읍면동,리,구분,번,지
65441,경상북도,경산시,진량읍,평,일반,사리,
65445,전라남도,여수시,신덕동,,일반,148,1
65449,경상북도,영주시,풍기읍,백신리,일반,100,10
65450,경상북도,경산시,남산면,하대리,일반,290,1
65441,경상북도,경산시,진량읍,평,일반,사리,
65442,경기도,용인시 처인구,양지면,주북리,일반,348,1
65441,경상북도,경산시,진량읍,평,일반,사리,
65445,전라남도,여수시,신덕동,,일반,148,1
65449,경상북도,영주시,풍기읍,백신리,일반,100,10
65452,제주특별자치도,서귀포시,표선면,가시리,일반,2247,1
65457,충청남도,예산군,고덕면,오추리,일반,251,8
65461,경상북도,상주시,사벌국면,원흥리,일반,1456,
65462,광주광역시,광산구,월계동,,일반,775,2
65472,충청북도,청주시 흥덕구,오송읍,봉산리,일반,379,15
65482,경기도,김포시,월곶면,고양리,산,49,33
65483,경기도,안성시,공도읍,마정리,일반,183,
65485,경상남도,진주시,정촌면,예하리,일반,1299,1
65521,전라남도,광양시,태인동,,일반,28,361
65529,인천광역시,중구,항동7가,,일반,27,184
65531,충청남도,서천군,장항읍,송림리,일반,3,61
65534,충청남도,서산시,대산읍,운산리,일반,486,36
65537,대구광역시,북구,노원동2가,,일반,71,5
65544,대전광역시,대덕구,대화동,,일반,4,7
65545,충청북도,충주시,대소원면,본리,일반,775,
65548,전라남도,장흥군,장평면,청용리,일반,315,5
65556,충청북도,청주시 청원구,주중동,,일반,575,12
65560,대구광역시,달성군,현풍읍,중리,일반,489,
65568,충청남도,천안시 동남구,구룡동,,일반,654,
65571,충청남도,천안시 동남구,수신면,해정리,일반,395,1
